iter	RMSE
182	2082563.395
183	2079155.738
184	2077110.232
185	2075172.196
186	2073463.183
187	2071630.68
188	2068732.818
189	2065279.663
190	2061902.957
191	2057263.141
192	2052132.208
193	2050414.376
194	2048642.992
195	2046947.953
196	2042767.643
197	2040479.561
198	2039220.319
199	2037615.853
200	2034977.44
201	2031522.12
202	2027377.376
203	2023358.935
204	2021205.357
205	2019052.191
206	2016593.64
207	2015316.573
208	2009764.933
209	2006670.67
210	2005552.689
211	2004145.764
212	2001443.751
213	1999392.989
214	1997092.071
215	1996357.95
216	1995168.288
217	1992094.07
218	1990611.489
219	1987351.032
220	1983753.095
221	1982779.47
222	1979127.759
223	1977623.303
224	1975769.695
225	1971376.277
226	1966977.906
227	1964795.085
228	1960709.655
229	1956887.493
230	1955885.922
231	1954124.281
232	1951176.947
233	1949705.52
234	1947744.676
235	1945293.97
236	1944373.948
237	1942260.404
238	1941582.098
239	1938004.844
240	1936969.875
241	1936346.75
242	1935501.6
243	1935067.877
244	1934476.835
245	1928808.167
246	1928247.912
247	1927682.233
248	1920978.808
249	1919280.725
250	1916976.317
251	1913546.104
252	1913153.679
253	1910267.148
254	1906343.798
255	1905642.712
256	1905091.906
257	1904530.382
258	1903592.283
259	1903093.77
260	1902651.654
261	1897254.975
262	1896502.739
263	1896076.337
264	1895614.836
265	1893577.774
266	1892307.384
267	1887416.215
268	1886776.734
269	1885961.063
270	1883508.009
271	1881457.412
272	1875238.301
273	1874742.954
274	1871628.147
275	1871049.374
276	1868443.587
277	1862659.495
278	1859101.718
279	1856249.087
280	1854377.966
281	1851889.661
282	1851503.695
283	1849251.345
284	1847035.354
285	1843762.832
286	1839505.58
287	1834950.006
288	1832848.905
289	1832385.555
290	1831000.642
291	1829278.27
292	1828906.519
293	1826120.85
294	1821797.593
295	1821491.124
296	1820346.324
297	1818538.474
298	1817188.499
299	1815926.929
300	1814014.135
301	1811732.95
302	1811336.413
303	1810989.432
304	1806466.368
305	1804443.193
306	1801283.746
307	1800550.694
308	1797995.037
309	1796840.53
310	1794716.491
311	1792808.896
312	1791782.746
313	1788008.609
314	1785459.718
315	1780180.307
316	1779924.473
317	1777445.166
318	1775641.299
319	1773879.894
320	1773142.521
321	1772098.051
322	1770607.446
323	1767128.272
324	1766767.309
325	1763401.833
326	1760675.112
327	1758879.811
328	1756855.517
329	1753810.496
330	1749998.236
331	1745564.936
332	1741300.86
333	1739741.569
334	1737786.005
335	1736209.905
336	1732698.24
337	1730655.426
338	1727034.29
339	1725492.296
340	1723761.488
341	1721450.038
342	1719501.693
343	1718643.915
344	1718347.656
345	1717489.408
346	1715691.863
347	1715193.652
348	1713472.057
349	1711739.402
350	1709159.186
351	1708430.546
352	1707981.198
353	1704747.804
354	1704474.873
355	1702701.413
356	1702117.269
357	1700381.662
358	1699811.391
359	1698123.475
360	1697151.637
361	1694412.855
362	1693808.111
363	1692338.129
364	1689129.419
365	1686521.152
366	1683979.531
367	1683308.505
368	1681888.978
369	1678349.542
370	1677816.139
371	1675478.583
372	1672772.86
373	1672512.51
374	1669996.559
375	1667804.617
376	1666591.495
377	1664317.766
378	1661874.27
379	1661299.591
380	1657880.15
381	1657460.525
382	1654759.699
383	1651131.197
384	1649254.297
385	1646139.68
386	1645484.789
387	1643947.909
388	1641540.64
389	1640640.661
390	1638296.894
391	1637657.666
392	1636589.364
393	1636286.665
394	1635752.134
395	1635262.252
396	1634878.462
397	1634064.242
398	1632760.646
399	1632390.477
400	1631578.114
401	1629229.891
402	1629037.489
403	1628224.23
404	1627779.048
405	1625541.819
406	1623466.07
407	1622585.148
408	1622366.653
409	1621262.1
410	1619916.945
411	1617531.385
412	1615979.375
413	1615006.177
414	1613997.754
415	1612165.969
416	1610348.156
417	1608513.72
418	1607076.948
419	1605681.438
420	1602424.766
421	1601211.048
422	1600254.877
423	1596769.274
424	1596442.743
425	1594297.606
426	1594125.79
427	1592080.783
428	1589993.929
429	1589680.741
430	1588310.496
431	1587717.822
432	1587321.169
433	1585719.369
434	1583232.362
435	1582907.774
436	1582607.672
437	1582450.396
438	1581058.733
439	1580120.305
440	1578596.69
441	1577710.792
442	1577514.886
443	1577201.158
444	1574505.329
445	1572359.676
446	1570995.221
447	1570742.052
448	1569833.236
449	1569594.546
450	1568986.789
451	1568761.364
452	1567142.613
453	1565489.57
454	1565180.583
455	1563414.46
456	1561834.363
457	1561028.316
458	1559990.612
459	1558818.787
460	1558251.711
461	1557860.809
462	1556650.309
463	1555711.328
464	1554133.722
465	1553749.196
466	1551729.7
467	1548240.003
468	1547558.939
469	1546855.553
470	1544574.247
471	1542617.149
472	1540509.709
473	1539504.025
474	1536959.855
475	1534804.501
476	1532717.351
477	1531279.984
478	1529318.782
479	1528021.065
480	1526214.216
481	1524512.167
482	1522512.414
483	1522128.635
484	1521004.647
485	1520756.584
486	1518767.087
487	1517810.171
488	1516883.592
489	1516484.734
490	1514779.953
491	1513519.126
492	1513276.392
493	1512926.848
494	1510649.571
495	1509977.665
496	1508571.788
497	1508374.338
498	1507467.844
499	1504922.365
500	1502995.157
501	1501555.543
502	1499335.694
503	1499206.168
504	1495902.553
505	1494441.167
506	1494217.457
507	1492436.273
508	1490032.283
509	1488078.321
510	1486633.392
511	1483814.071
512	1482094.03
513	1481196.506
514	1480592.442
515	1480449.265
516	1477794.424
517	1477260.892
518	1476915.393
519	1476388.659
520	1476237.24
521	1474805.578
522	1473816.325
523	1471498.629
524	1469932.478
525	1469789.568
526	1468435.308
527	1467852.678
528	1466265.094
529	1464803.904
530	1464121.17
531	1462702.023
532	1460368.204
533	1459317.667
534	1458827.232
535	1456790.266
536	1454965.723
537	1454828.734
538	1453857.708
539	1452818.217
540	1451979.497
541	1451479.021
542	1449789.18
543	1448931.473
544	1445989.311
545	1445050.838
546	1443981.652
547	1443859.668
548	1441557.895
549	1440603.323
550	1439626.316
551	1437245.627
552	1435056.296
553	1433111.684
554	1432841.957
555	1431619.029
556	1429870.707
557	1429491.926
558	1428614.525
559	1426538.972
560	1425545.927
561	1425147.992
562	1424039.205
563	1421778.336
564	1421661.392
565	1420504.174
566	1419571.094
567	1419117.916
568	1417941.985
569	1416435.255
570	1414925.843
571	1413992.847
572	1412604.33
573	1410662.399
574	1409508.26
575	1408669.865
576	1407409.168
577	1406980.278
578	1405532.555
579	1404606.423
580	1402349.369
581	1401601.995
582	1400210.974
583	1399779.284
584	1399010.936
585	1398170.583
586	1397601.737
587	1395505.464
588	1394422.133
589	1392288.06
590	1390949.632
591	1389351.041
592	1389236.743
593	1388392.068
594	1386630.571
595	1385357.425
596	1385011.943
597	1384464.012
598	1383244.008
599	1383049.991
600	1382634.251
601	1381110.629
602	1380352.981
603	1378385.173
604	1377055.595
605	1376289.343
606	1374928.667
607	1374565.812
608	1374069.121
609	1373493.976
610	1371887.67
611	1371453.165
612	1370778.413
613	1369587.003
614	1369391.289
615	1368556.618
616	1367504.305
617	1365509.777
618	1364347.656
619	1363293.096
620	1362526.975
621	1362270.26
622	1362072.517
623	1360868.853
624	1359851.073
625	1359741.506
626	1359008.975
627	1358902.667
628	1357505.735
629	1356526.322
630	1355228.205
631	1353883.16
632	1353031.461
633	1352926.902
634	1352752.626
635	1350919.431
636	1350817.831
637	1350718.686
638	1350331.167
639	1349247.199
640	1348560.297
641	1348453.468
642	1347299.452
643	1346266.39
644	1345917.513
645	1345471.815
646	1344898.345
647	1343788.023
648	1341916.455
649	1340986.136
650	1340800.965
651	1339232.813
652	1338844.089
653	1338155.829
654	1337317.232
655	1335340.934
656	1335115.353
657	1333550.028
658	1332899.467
659	1332056.318
660	1330685.403
661	1329294.746
662	1328967.023
663	1328064.806
664	1326926.244
665	1326536.611
666	1326190.334
667	1324280.214
668	1323407.296
669	1322166.931
670	1321480.322
671	1319660.891
672	1318606.206
673	1317710.801
674	1316631.94
675	1316528.986
676	1315299.501
677	1315200.33
678	1314259.829
679	1313416.067
680	1312405.467
681	1311384.715
682	1310477.532
683	1308977.12
684	1308125.913
685	1307118.247
686	1305777.735
687	1304932.174
688	1304466.62
689	1304149.107
690	1303575.834
691	1302458.289
692	1300963.407
693	1300644.986
694	1300317.222
695	1299559.949
696	1298381.827
697	1297596.74
698	1296122.101
699	1294758.57
700	1293496.402
701	1291792.578
702	1291073.514
703	1289926.306
704	1288637.037
705	1288066.499
706	1287007.182
707	1285882.62
708	1285478.598
709	1284468.103
710	1282828.883
711	1282593.784
712	1282496.763
713	1281257.218
714	1280324.899
715	1280033.5
716	1279581.886
717	1278866.129
718	1277498.145
719	1276257.159
720	1275233.738
721	1274889.351
722	1273261.34
723	1272455.222
724	1271976.827
725	1271402.92
726	1271141.839
727	1270851.327
728	1270193.984
729	1269502.646
730	1269016.279
731	1267264.708
732	1267024.732
733	1266156.434
734	1263952.67
735	1262388.115
736	1261900.061
737	1260856.221
738	1260040.616
739	1259233.328
740	1259137.577
741	1258571.496
742	1257942.08
743	1256692.51
744	1256084.551
745	1255124.533
746	1254277.667
747	1254065.574
748	1253310.405
749	1252751.743
750	1251829.107
751	1251034.747
752	1250851.786
753	1249668.748
754	1248450.521
755	1247514.803
756	1247429.844
757	1246727.484
758	1246185.731
759	1245591.386
760	1245129.906
761	1243631.24
762	1242994.193
763	1242370.324
764	1241128.012
765	1240432.269
766	1239299.377
767	1238977.441
768	1238367.952
769	1237871.413
770	1237357.405
771	1237214.481
772	1236044.741
773	1235430.428
774	1235284.945
775	1234595.379
776	1233805.326
777	1232631.819
778	1231798.936
779	1230896.745
780	1230223.199
781	1229385.714
782	1228337.124
783	1227428.136
784	1227178.766
785	1226348.65
786	1226268.474
787	1225536.1
788	1224469.072
789	1224135.127
790	1223853.631
791	1223353.25
792	1223065.005
793	1222652.783
794	1221859.939
795	1221781.788
796	1220912.803
797	1219919.621
798	1218287.375
799	1217577.393
800	1217503.666
801	1217388.019
802	1216684.604
803	1215705.775
804	1215191.01
805	1214595.781
806	1213771.993
807	1213657.661
808	1211954.202
809	1210931.635
810	1210458.138
811	1209698.481
812	1209587.138
813	1209140.157
814	1208408.735
815	1208334.005
816	1207848.846
817	1206791.163
818	1206025.935
819	1205215.912
820	1204555.975
821	1204449.655
822	1203894.195
823	1203821.723
824	1202837.409
825	1202768.016
826	1202457.78
827	1201802.177
828	1201184.157
829	1200347.84
830	1199837.999
831	1199767.989
832	1199013.614
833	1198392.568
834	1198075.657
835	1197468.108
836	1196510.531
837	1196436.809
838	1195612.138
839	1195316.513
840	1195015.999
841	1194096.387
842	1194027.379
843	1193349.489
844	1191734.265
845	1191667.072
846	1191577.448
847	1191472.475
848	1190795.135
849	1189911.47
850	1189633.962
851	1189193.737
852	1189085.998
853	1188466.295
854	1188392.965
855	1188152.105
856	1187917.171
857	1187124.634
858	1186815.751
859	1186281.691
860	1185890.497
861	1185404.985
862	1185244.588
863	1184440.783
864	1183933.108
865	1183090.699
866	1182608.891
867	1181956.884
868	1181276.332
869	1180834.764
870	1180745.174
871	1179941.386
872	1179455.614
873	1179370.024
874	1178892.52
875	1178016.22
876	1177262.629
877	1176109.06
878	1175545.499
879	1175214.974
880	1174968.108
881	1174402.887
882	1174243.848
883	1173016.846
884	1172500.854
885	1171900.788
886	1170573.169
887	1170514.242
888	1169745.079
889	1168458.774
890	1167328.049
891	1166613.017
892	1166251.724
893	1165616.689
894	1165058.186
895	1164496.276
896	1164078.442
897	1163589.736
898	1163124.104
899	1163074.562
900	1163017.919
901	1162802.076
902	1162266.611
903	1162095.081
904	1161651.549
905	1160947.481
906	1160744.951
907	1159353.288
908	1157996.364
909	1157795.553
910	1157035.235
911	1156136.968
912	1156082.082
913	1155609.592
914	1155263.688
915	1154778.751
916	1154560.515
917	1154178.349
918	1154016.524
919	1152952.732
920	1152365.137
921	1151690.988
922	1150403.575
923	1150153.994
924	1149913.487
925	1149498.383
926	1148778.329
927	1148166.28
928	1147296.135
929	1147148.646
930	1146324.057
931	1145893.555
932	1145757.356
933	1145531.909
934	1144600.096
935	1144044.176
936	1143539.773
937	1142643.05
938	1142058.766
939	1141999.963
940	1141724.777
941	1140989.758
942	1140767.054
943	1140317.103
944	1139542.664
945	1139223.441
946	1137995.385
947	1137475.736
948	1137022.249
949	1136070.775
950	1136019.933
951	1135833.253
952	1135386.542
953	1134698.923
954	1134404.273
955	1133826.796
956	1133178.451
957	1132693.962
958	1131813.057
959	1131382.514
960	1131085.017
961	1130407.792
962	1129768.823
963	1129599.314
964	1128254.821
965	1127523.835
966	1126505.298
967	1126148.201
968	1125293.425
969	1125055.164
970	1124060.347
971	1123738.604
972	1123683.742
973	1123112.991
974	1122903.347
975	1122746.634
976	1122623.053
977	1121816.706
978	1121135.421
979	1120927.196
980	1119614.163
981	1118356.039
982	1118280.672
983	1118070.854
984	1117333.795
985	1117120.586
986	1116963.142
987	1116319.279
988	1115932.579
989	1114898.743
990	1114512.784
991	1113802.22
992	1113329.071
993	1113136.951
994	1112787.188
995	1112112.865
996	1111592.603
997	1110984.037
998	1110088.003
999	1109721.569
